"date","elite","sentiment"
2017-06-02,"0",0.7
2017-06-02,"1",0.425
2017-06-02,"0",0.133928571429
2017-06-02,"0",0.366666666667
2017-06-02,"0",0.227083333333
2017-06-03,"1",0.254282407407
2017-06-03,"0",0.377380952381
2017-06-05,"0",0.075
2017-06-05,"0",0.4
2017-06-06,"1",0.0723290598291
2017-06-07,"1",0.149859708193
2017-06-08,"0",0.13768115942
2017-06-08,"1",0.40625
2017-06-08,"0",0.0616161616162
2017-06-09,"0",0.65
2017-06-09,"0",0.319679487179
2017-06-12,"0",0.296666666667
2017-06-12,"1",0.440555555556
2017-06-13,"1",0.247794117647
2017-06-14,"0",0.153571428571
2017-06-18,"1",0.0766488413547
2017-06-19,"0",0.408333333333
2017-06-20,"1",0.325
2017-06-21,"0",0.183333333333
2017-06-22,"0",-0.216666666667
2017-06-23,"0",0.286666666667
2017-06-23,"0",0.35
2017-06-25,"1",0.443434343434
2017-06-25,"0",0.675
2017-06-26,"0",0.185714285714
2017-06-26,"1",0.216666666667
2017-06-30,"0",0.408920454545
2017-06-30,"1",0.418981481481
2017-06-30,"1",0.2
2017-07-01,"0",0.215
2017-07-01,"0",0.353333333333
2017-07-01,"0",0.225
2017-07-01,"1",0.079375
2017-07-02,"1",0.357058823529
2017-07-03,"0",0.0392857142857
2017-07-03,"0",0.241025641026
2017-07-03,"1",0.200333333333
2017-07-03,"0",0.268181818182
2017-07-04,"0",0.296547619048
2017-07-04,"0",0.1925
2017-07-05,"0",0.224676870748
2017-07-08,"1",0.51
2017-07-08,"1",0.151488095238
2017-07-08,"0",0.397959183673
2017-07-09,"1",0.471428571429
2017-07-10,"0",0.15
2017-07-10,"0",0.167602040816
2017-07-10,"1",0.306453634085
2017-07-12,"0",0.351666666667
2017-07-13,"0",0.3
2017-07-13,"0",0.5
2017-07-13,"0",0.27625
2017-07-13,"0",0.298295454545
2017-07-14,"0",-0.1125
2017-07-14,"0",0.547619047619
2017-07-15,"0",0.000555555555556
2017-07-15,"0",0.219821428571
2017-07-16,"0",0.73
2017-07-16,"0",0.3775
2017-07-17,"0",0.13125
2017-07-17,"0",0.296103896104
2017-07-17,"0",0.258888888889
2017-07-18,"0",0.51
2017-07-19,"0",0.65
2017-07-19,"0",0.512666666667
2017-07-20,"1",0.236666666667
2017-07-20,"0",-0.2
2017-07-20,"1",0.258392857143
2017-07-20,"0",0.425
2017-07-22,"1",0.273051948052
